Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
GSP31kavsttvu,,,,,Sāṃkhyatattvapradīpa,,Kavirājayati [Kavirājagiri],P0AT0220,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/kavsttvu.htm,,
GSP31jaymangu,,,,,Sāṃkhyakārikā [Sāṃkhyasaptati],With Śaṃkara arya's Jayamaṅgalā nāma Sāṃkhyasaptatiṭīkā (commentary),Īśvarakṛṣṇa,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/jaymangu.htm,,https://archive.org/search.php?query=S%C4%81%E1%B9%83khyak%C4%81rik%C4%81
GSP31isvskaru,,,,,Sāṃkhyakārikā [Sāṃkhyasaptati],,Īśvarakṛṣṇa,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/isvskaru.htm,,https://archive.org/search.php?query=S%C4%81%E1%B9%83khyak%C4%81rik%C4%81
GSP31iskgaudu,,,,,Sāṃkhyakārikā [Sāṃkhyasaptati],With Gauḍapāda's Bhāṣya (commentary),Īśvarakṛṣṇa,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/iskgaudu.htm,,https://archive.org/search.php?query=S%C4%81%E1%B9%83khyak%C4%81rik%C4%81
GSP31iskar_u,,,,,Sāṃkhyakārikā [Sāṃkhyasaptati],With Māṭhara's commentary Māṭharavṛtti,Īśvarakṛṣṇa,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/iskar_u.htm,,https://archive.org/search.php?query=S%C4%81%E1%B9%83khyak%C4%81rik%C4%81
GSP31iskamatu,,,,,Sāṃkhyakārikā [Sāṃkhyasaptati],With Māṭhara's commentary Māṭharavṛtti,Īśvarakṛṣṇa,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/iskamatu.htm,,https://archive.org/search.php?query=S%C4%81%E1%B9%83khyak%C4%81rik%C4%81
GSP31bhgank_u,,,,,Gaṇakārikā 1,,Bhāsarvajña,P0AT0218,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhgank_u.htm,,https://archive.org/details/kTRY_ganakarika-of-acarya-bhasarvajna-photocopy-chimanla-d.-dalal/mode/2up
GSP30vijnbhau,,,,,Vijñānabhairava,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/vijnbhau.htm,,https://archive.org/details/in.ernet.dli.2015.242331
GSP30vatnsupu,,,,,Vātūlanāthasūtra,With the Vṛtti (Commentary) of Anantaśaktipāda,Vātūlanātha,P0AT0217,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/vatnsupu.htm,,
GSP30vasspacu,,,,,Spandakārikā,,Vasugupta [or Kallaṭa Bhaṭṭa?],P0AT0213,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/vasspacu.htm,,https://archive.org/details/wg089/mode/2up
GSP30vamsbum_u,,,,,Svabodhodayamañjārī,,Vāmanadatta,P0AT0215,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/vamsbum_u.htm,,
GSP30vamjanmu,,,,,Janmamaraṇavicāra,,Vāmadeva,P0AT0214,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/vamjanmu.htm,,
GSP30utipk_pu,,,,,Īśvarapratyabhijñākārikā,With Vṛtti,Utpaladeva,P0AT0126,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/utipk_pu.htm,,
GSP30timudghu,,,,,Timirodghāṭana,Plus short Nirvāṇakārikā at the end,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/timudghu.htm,,
GSP30tantralu,,,,,Tantrāloka,,Abhinavagupta,P0AT0157,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/tantralu.htm,,https://archive.org/search.php?query=Tantr%C4%81loka
